,columna,sumaNulos,porcentajeNulos
0,timestamp,0,0.0
0,edad,0,0.0
0,genero,0,0.0
0,pais,0,0.0
0,conocimiento_infertilidad,0,0.0
0,busqueda_informacion,0,0.0
0,medio_informacion,0,0.0
0,conocimiento_parejas,0,0.0
0,medio_confiable,0,0.0
0,informacion_familiar,0,0.0
0,edad_familiar,15,0.5172413793103449
0,genero_familiar,15,0.5172413793103449
0,informacion_personal,0,0.0
0,tiempo,22,0.7586206896551724
0,primer_contacto,22,0.7586206896551724
0,tiempo_visitar,22,0.7586206896551724
0,contacto,22,0.7586206896551724
0,solucion,22,0.7586206896551724
0,automedicacion,22,0.7586206896551724
0,habitos,0,0.0
0,ocurrencia_habitos,0,0.0
0,deporte,0,0.0
0,estrés,0,0.0
0,dieta,0,0.0
