,columna,sumaNulos,porcentajeNulos
0,timestamp,0,0.0
0,edad,0,0.0
0,genero,0,0.0
0,pais,0,0.0
0,conocimiento_infertilidad,0,0.0
0,busqueda_informacion,0,0.0
0,medio_informacion,0,0.0
0,conocimiento_parejas,0,0.0
0,medio_confiable,0,0.0
0,informacion_familiar,0,0.0
0,edad_familiar,6,0.75
0,genero_familiar,6,0.75
0,informacion_personal,0,0.0
0,tiempo,8,1.0
0,primer_contacto,8,1.0
0,tiempo_visitar,8,1.0
0,contacto,8,1.0
0,solucion,8,1.0
0,automedicacion,8,1.0
0,habitos,0,0.0
0,ocurrencia_habitos,0,0.0
0,deporte,0,0.0
0,estrés,0,0.0
0,dieta,0,0.0
